Date/Time,Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),InteriorLights:Electricity [J](TimeStep),Electricity:Facility [J](Hourly),InteriorEquipment:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 04/28  07:20:00,439650.6648000001,413561.05980000007,26089.605000000003,,,,,,,226758.57139158139,99121.01677248272,0.0 
 04/28  07:30:00,439650.6648000001,413561.05980000007,26089.605000000003,,,,,,,241207.27935622366,99121.01677248272,0.0 
 04/28  07:40:00,439650.6648000001,413561.05980000007,26089.605000000003,,,,,,,270182.2885865916,99121.01677248275,0.0 
 04/28  07:50:00,439650.6648000001,413561.05980000007,26089.605000000003,,,,,,,298138.26994425847,99121.01677248272,0.0 
 04/28  08:00:00,439650.6648000001,413561.05980000007,26089.605000000003,2637903.9888000006,2481366.3588,156537.63000000004,1579276.3157722364,594726.1006348963,0.0,331105.6075196285,99121.01677248272,0.0 
 04/28  08:10:00,417009.2177694961,390919.6127694961,26089.605000000003,,,,,,,362739.85567940698,99121.01677248272,0.0 
 04/28  08:20:00,417009.2177694961,390919.6127694961,26089.605000000003,,,,,,,399828.48825497357,99121.01677248272,0.0 
 04/28  08:30:00,417009.2177694961,390919.6127694961,26089.605000000003,,,,,,,437080.07740915767,99121.01677248272,0.0 
 04/28  08:40:00,417009.2177694961,390919.6127694961,26089.605000000003,,,,,,,471726.7682214728,99121.01677248272,0.0 
 04/28  08:50:00,417009.2177694961,390919.6127694961,26089.605000000003,,,,,,,506644.62308506548,99121.01677248272,0.0 
 04/28  09:00:00,417009.2177694961,390919.6127694961,26089.605000000003,2502055.3066169766,2345517.6766169767,156537.63000000004,2714758.124877042,594726.1006348963,0.0,536738.3122269663,99121.01677248272,0.0 
 04/28  09:10:00,27449.355190974,27449.355190974,0.0,,,,,,,236775.15046339995,50307.334954919,0.0 
 04/28  09:20:00,27449.355190974,27449.355190974,0.0,,,,,,,259744.194265923,50307.334954919,0.0 
 04/28  09:30:00,27449.355190974,27449.355190974,0.0,,,,,,,282068.6702510269,50307.33495491899,0.0 
 04/28  09:40:00,27449.355190974,27449.355190974,0.0,,,,,,,299492.9714546799,50307.334954919,0.0 
 04/28  09:50:00,27449.355190974,27449.355190974,0.0,,,,,,,315506.4995982801,50307.334954919,0.0 
 04/28  10:00:00,27449.355190974,27449.355190974,0.0,164696.131145844,164696.131145844,0.0,1718722.177568145,301844.009729514,0.0,325134.69153483529,50307.334954919,0.0 
 04/28  10:10:00,27449.355190974,27449.355190974,0.0,,,,,,,329025.75912406409,50307.334954919,0.0 
 04/28  10:20:00,27449.355190974,27449.355190974,0.0,,,,,,,335304.4265546523,50307.334954919,0.0 
 04/28  10:30:00,27449.355190974,27449.355190974,0.0,,,,,,,341674.09664833798,50307.334954919,0.0 
 04/28  10:40:00,27449.355190974,27449.355190974,0.0,,,,,,,346384.75856587439,50307.334954919,0.0 
 04/28  10:50:00,27449.355190974,27449.355190974,0.0,,,,,,,350159.11689333236,50307.334954919,0.0 
 04/28  11:00:00,27449.355190974,27449.355190974,0.0,164696.131145844,164696.131145844,0.0,2055937.9943026619,301844.009729514,0.0,353389.8365164011,50307.334954919,0.0 
 04/28  11:10:00,27449.355190974,27449.355190974,0.0,,,,,,,354744.15560432427,50307.334954919,0.0 
 04/28  11:20:00,27449.355190974,27449.355190974,0.0,,,,,,,356268.2508905544,50307.334954919,0.0 
 04/28  11:30:00,27449.355190974,27449.355190974,0.0,,,,,,,358406.35144676957,50307.334954919,0.0 
 04/28  11:40:00,27449.355190974,27449.355190974,0.0,,,,,,,361055.90225132668,50307.334954919,0.0 
